filename	dataset	commit	completion_date	machine	usertime	time_scale_years	logistic_scale	radi_prior_sd	series_chunk_size	train_samples	test_samples	skip_matches	TI9 groups AUC	TI9 playoffs AUC	avg EV>0 exp	avg EV>0 obs	avg EV>=0.1 exp	avg EV>=0.1 obs	avg EV>=0.2 exp	avg EV>=0.2 obs	AUC	loglik
iterative_MAP.0.tsv.gz	data/raw/premium_matches.2019-08-11.json.gz	e4da7fdb05d5ccaddfcf9da17fdcfead819cc856	09/08/2019	t3.medium	48:36:50	2	1	10	NULL	2500	2500	NULL										
iterative_MAP.1.tsv.gz	data/raw/premium_matches.2019-08-11.json.gz	a44c8d5d440ada9c47a881565dfcae0e4b8193e0	09/08/2019	t3.medium	36:00:00	2	1	10	1	2500	2500	NULL										
newton_predictions.5-chunks.tsv.*.gz	data/raw/premium_matches.2019-08-11.json.gz	89ccd265e36a356d25d01734bbb9f4f22265a60a	09/08/2019	mac	08:20:00	2	1	10	5	2500	2500	NULL										
iterative_fitting-1.25_3_3.5-chunks.tsv.*.gz	data/raw/premium_matches.2019-08-11.json.gz	03e56f9ae7e9ae5cc8e87e8a7173cc1fedf7e159	09/08/2019	t3.medium	10:30:00	1.25	3	3	5	2500	2500	NULL										
iter_newton_scale-1.25_logistic-3_radisd-3.1000-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	1000	500	3500										
iter_newton_scale-1.25_logistic-3_radisd-3.1500-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	1500	500	3000										
iter_newton_scale-1.25_logistic-3_radisd-3.2000-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	2000	500	2500										
iter_newton_scale-1.25_logistic-3_radisd-3.2500-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	2500	500	2000										
iter_newton_scale-1.25_logistic-3_radisd-3.3000-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	3000	500	1500										
iter_newton_scale-1.25_logistic-3_radisd-3.3500-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	3500	500	1000										
iter_newton_scale-1.25_logistic-3_radisd-3.4000-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	4000	500	500										
iter_newton_scale-1.25_logistic-3_radisd-3.4500-trains.*.gz	data/raw/premium_matches.2019-08-11.json.gz	fe048c5104caeafd13c97f717d10da6ef1977c5c	13/08/2019	c5.large	NULL	1.25	3	3	5	4500	500	0										
